id,date,content,score,sentiment,summary,sector,sub_sector,type,impact_horizon,key_trigger,related_stocks,logic
2261107,2026-01-17 13:12,国家医保局：鼓励引导有条件地区搭建对外交易平台 【国家医保局：鼓励引导有条件地区搭建对外交易平台】财联社1月17日电，国家医保局医药价格和招标采购司司长王小宁在今日举行的“中国医保支持中国药械走出去”座谈活动上表示，医保部门推进特色化、差异化开展（集采）交易与价格“平台”建设，鼓励引导有条件的地区探索面向东南亚、中亚和其他国家搭建全球创新药交易平台，助力中国药械出海，指导各地结合自身区位和政策优势，积极构建线上线下一体，覆盖信息展示、交易撮合、采购结算和物流运输等全链条的（集采）交易平台，为各国采购使用质优价宜的中国医药产品提供便利，共享中国医药产业发展“红利”。座谈活动上，中国药品价格登记系统、中国-东盟(集采)交易平台外，新疆医保局牵头搭建的中国（新疆）-中亚“中心药房”、天津医保局牵头搭建的中国国际医疗设备与器械交易(集采)平台以及宁波医保局牵头搭建的宁波中东欧(集采)交易平台(筹)也分别介绍了支持中国药械走出去的发展情况和工作设想。（财联社记者 王俊仙 卢阿峰）,5,0.4,医保局鼓励搭建对外交易平台,医药医疗,创新药/CXO,Policy,Medium,政策,[],关注/明牌。政策方向明确，鼓励药械出海，但属于“虚招”（引导性口号），未涉及具体资金或规则改变，短期实质影响有限。
2261106,2026-01-17 12:45,我国首台串列型高能氢离子注入机成功出束 【我国首台串列型高能氢离子注入机成功出束】财联社1月17日电，中核集团1月17日透露，由中核集团中国原子能科学研究院自主研制的我国首台串列型高能氢离子注入机（POWER-750H）近日成功出束，核心指标达到国际先进水平。这标志着我国已全面掌握串列型高能氢离子注入机的全链路研发技术，攻克了功率半导体制造链关键环节，为推动高端制造装备自主可控、保障产业链安全奠定坚实基础。离子注入机与光刻机、刻蚀机、薄膜沉积设备并称为芯片制造“四大核心装备”，是半导体制造不可或缺的“刚需”设备。此次高能氢离子注入机的成功研制，是核技术与半导体产业深度融合的重要成果，将有力提升我国在功率半导体等关键领域的自主保障能力，更为助力“双碳”目标实现、加快形成新质生产力提供强有力技术支撑。,6,0.8,国产离子注入机突破,半导体,半导体设备,Industry,Medium,其他,[],显著/超预期。攻克芯片制造“四大核心装备”之一，核心指标达国际先进，是半导体设备国产替代的重要进展，符合自主可控主线。
2261104,2026-01-17 12:41,华泰证券：国网4万亿投资 利好电网设备商 【华泰证券：国网4万亿投资 利好电网设备商】财联社1月17日电，华泰证券研报称，国网4万亿投资，利好电网设备商。根据国家电网公司，“十五五”期间，国家电网公司固定资产投资预计达到4万亿元，较“十四五”投资增长40%。同时，2025年12月31日，发改委、能源局两部门发布《关于促进电网高质量发展的指导意见》，明确适度超前开展电网投资建设。华泰证券看好全国统一电力市场建设加速推进下，“十五五”期间电网投资保持稳步增长态势，跨省输电通道建设与西部薄弱电网补强需求明确，特高压建设需求处于高位，主网投资有望继续保持较快增长。,5,0.7,国网4万亿投资,新能源,储能,Policy,Medium,政策,[],关注/明牌。政策明确且投资额巨大，利好电网设备商，但信息已由券商研报解读，市场已有预期，需结合后续具体项目落地节奏。
2261375,2026-01-18 16:42,容百科技：因重大合同公告涉嫌误导性陈述等 被证监会立案 【容百科技：因重大合同公告涉嫌误导性陈述等 被证监会立案】财联社1月18日电，容百科技(688005.SH)公告称，公司于2026年1月18日收到中国证监会下发的《立案告知书》，因公司重大合同公告涉嫌误导性陈述等，根据相关法律法规，中国证监会决定对公司予以立案。目前公司各项经营活动和业务均正常开展。立案调查期间，公司将积极配合中国证监会的相关工作，并严格按照相关法律法规和监管要求及时履行信息披露义务。,9,-0.9,容百科技被立案,新能源,锂电/固态电池,Micro,Immediate,其他,['容百科技'],极高意外性。监管对重大合同公告立案调查，涉嫌误导性陈述，属“核弹级”负面事件，将严重打击市场对相关公司及锂电板块的信披信任度。
2261374,2026-01-18 16:41,证监会对容百科技重大合同公告涉嫌误导性陈述立案调查 【证监会对容百科技重大合同公告涉嫌误导性陈述立案调查】财联社1月18日电，据证监会官网，2026年1月14日，宁波容百新能源科技股份有限公司（简称容百科技）披露日常经营重大合同的公告，涉嫌误导性陈述。近日，证监会已对容百科技立案调查。下一步，将在全面调查的基础上依法处理，切实维护市场健康稳定发展。,9,-0.9,证监会立案调查,新能源,锂电/固态电池,Policy,Immediate,政策,['容百科技'],结构性颠覆。监管直接出手，针对“重大合同公告”这一核心信披事项立案，释放强监管信号，对市场中性情绪下的信披炒作行为构成精准打击。
2261372,2026-01-18 16:38,天铁科技：实控人许吉锭已被变更强制措施为取保候审 【天铁科技：实控人许吉锭已被变更强制措施为取保候审】财联社1月18日电，天铁科技(300587.SZ)公告称，此前，公司控股股东、实控人之一许吉锭被台州市公安局采取刑事拘留的强制措施。近日，公司接到许吉锭的通知，其已被变更强制措施为取保候审，并予以释放。上述相关事项尚待公安机关进一步调查，调查事项系许吉锭的个人事项，与公司日常生产经营无关，且其目前未在公司担任董事或高级管理人员职务，公司日常生产经营情况正常。,8,0.8,实控人取保候审,全局,通用,Micro,Immediate,其他,['天铁科技'],实控人强制措施由刑拘变更为取保候审，属重大负面预期边际改善，对股价构成短期强刺激。
2261368,2026-01-18 16:35,锐明技术：2025年净利润同比预增27.58%—37.92% 【锐明技术：2025年净利润同比预增27.58%—37.92%】财联社1月18日电，锐明技术(002970.SZ)公告称，预计2025年实现归母净利润3.7亿元—4亿元，同比增长27.58%—37.92%。公司海外、国内和前装业务在报告期均实现全面增长。,5,0.6,2025年业绩预增,汽车产业链,汽配/自动驾驶,Micro,Medium,业绩,['锐明技术'],预告期内发布2025年业绩预增，增长明确但属明牌，需观察后续季度验证增长持续性。
2261358,2026-01-18 17:19,【风口研报·公司】打通逻辑+存储+先进封装+半导体材料供应链，这家公司设备产品已覆盖约70%量检测设备市场容量；这家公司通过“股权转让+增资”切入光模块赛道，且标的方已发布1.6T光模块产品 ①打通逻辑+存储+先进封装+半导体材料供应链，这家公司设备产品已覆盖约70%量检测设备市场容量，HBM等新兴领域打开增量空间；②“股权转让+增资”正式切入光模块赛道，且标的方已发布1.6T光模块产品，分析师强call公司现有业务成长性并上调评级。,5,0.6,半导体设备+光模块布局,半导体,半导体设备,Micro,Medium,其他,['公司名未明确'],信息为券商研报观点，属明牌信息，无具体业绩或订单数据支撑，市场已有预期。
2261233,2026-01-18 17:19,"【财联社早知道】刷新历史新高，美光科技周五大涨7.8%，存储芯片市场已进入“超级牛市”阶段，这家公司的AI存储芯片占AI领域收入的60%；机器人将再度登上春晚舞台，这家公司聚焦机器人机电执行器 ①刷新历史新高，美光科技周五大涨7.8%，存储芯片市场已进入“超级牛市”阶段，这家公司的AI存储芯片占AI领域收入的60%，并且取得了长江存储与长鑫存储的AI存储芯片代理权；
②机器人将再度登上春晚舞台，机构预计2026年全球人形机器人出货量约为3万台，这家公司聚焦机电执行器，并已成立专门的机器人事业部；
③这家公司实现了AI行业应用（智慧教育、智慧医疗、企业AI解决方案等）、AI开放平台和AI消费者产品三大AI落地商业化体系。",7,0.8,美光映射+AI存储,半导体,芯片设计,Industry,Short,映射,['公司名未明确'],美光科技大涨映射A股存储芯片产业链，叠加AI存储芯片代理权等增量信息，在等待方向的市场中提供明确催化。
2261440,2026-01-18 19:11,Anthropic拟筹资250亿美元或更多 红杉资本将参与融资 【Anthropic拟筹资250亿美元或更多 红杉资本将参与融资】财联社1月18日电，据报道，红杉资本计划对人工智能初创公司Anthropic进行重大投资。Anthropic正寻求以3500亿美元估值进行融资，计划筹集总额250亿美元或更多资金。微软与英伟达已承诺向该公司投资总计至高达150亿美元。,7,0.8,AI巨头巨额融资,人工智能(AI),AI模型/数据,Industry,Short,映射,[],海外AI巨头Anthropic天量融资及估值，映射A股AI模型/数据及算力产业链，强化全球AI高景气度预期。
2261444,2026-01-18 19:29,包钢股份一板材厂爆炸事故已致2人死亡5人失联66人送医 【包钢股份一板材厂爆炸事故已致2人死亡5人失联66人送医】财联社1月18日电，据新华社，记者从内蒙古自治区包头市应急管理、消防救援等多个部门获悉，截至18日17时30分，15时许发生的包钢股份一板材厂爆炸事故造成2人死亡、5人失联，另有66人送医，其中3人重症。事故发生后，自治区党委、政府高度重视，立即组织救援队伍到现场开展救援。事故原因正在调查中。,9,-1.0,重大安全事故,全局,通用,Micro,Immediate,其他,['包钢股份'],非预告期突发重大安全事故，造成人员伤亡，属极高意外性负面事件，对上市公司构成实质性打击。
